id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
51,3,Graduate,Yes,7200000,16500000,18,515,7800000,6300000,17300000,10600000,0
52,4,Graduate,No,5500000,18600000,12,569,13500000,6200000,19700000,7300000,1
53,2,Graduate,No,3800000,11400000,6,706,1000000,4000000,12100000,2800000,1
54,4,Graduate,Yes,900000,2500000,4,583,1300000,800000,1800000,1100000,1
55,1,Graduate,No,8600000,26700000,10,735,11800000,9100000,20700000,11200000,1
56,4,Graduate,Yes,9000000,30400000,20,532,21000000,7400000,30500000,13100000,0
57,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1
58,5,Not Graduate,No,300000,600000,4,418,500000,200000,700000,200000,0
59,2,Graduate,No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1
60,1,Not Graduate,No,6000000,13600000,12,589,9000000,300000,12600000,7100000,1
61,2,Graduate,Yes,4800000,12900000,8,740,9300000,900000,11000000,3700000,1
62,5,Not Graduate,Yes,2000000,7400000,14,799,3600000,3700000,4300000,1100000,1
63,2,Graduate,Yes,7800000,25400000,10,513,22100000,600000,23500000,9800000,0
64,2,Graduate,No,7300000,20000000,6,729,13100000,10700000,17900000,9100000,1
65,5,Graduate,No,9000000,18000000,18,509,24600000,5200000,20000000,6100000,0
66,5,Graduate,No,1600000,4000000,18,529,300000,1200000,5300000,2000000,0
67,0,Not Graduate,Yes,6900000,21300000,18,845,17400000,5600000,21400000,6600000,1
68,4,Not Graduate,Yes,7700000,23400000,6,400,3900000,3400000,20800000,10700000,0
69,4,Graduate,Yes,5600000,13000000,4,899,10500000,9100000,11400000,6400000,1
70,1,Graduate,Yes,5600000,16800000,16,528,7500000,6500000,12300000,3900000,0
71,4,Not Graduate,No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1
72,0,Graduate,No,2800000,5600000,8,842,0,1300000,6100000,1900000,1
73,1,Graduate,No,2600000,6600000,6,506,2300000,1900000,9600000,2100000,0
74,2,Not Graduate,No,6500000,23900000,18,457,1200000,12400000,18100000,7300000,0
75,3,Not Graduate,Yes,9900000,20400000,4,865,26300000,3600000,36500000,12800000,1
76,1,Not Graduate,No,2400000,5200000,2,371,6100000,3100000,8500000,1400000,0
77,2,Not Graduate,Yes,1600000,6400000,4,787,1000000,300000,5500000,1100000,1
78,5,Not Graduate,Yes,4400000,12300000,8,567,2400000,500000,12900000,6300000,1
79,2,Not Graduate,Yes,3300000,10700000,8,806,5700000,600000,11500000,4900000,1
80,1,Not Graduate,Yes,2400000,8800000,18,414,3600000,2200000,7100000,2500000,0
81,5,Not Graduate,Yes,4400000,15200000,6,446,9500000,2200000,16700000,5800000,0
82,1,Not Graduate,Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000,0
83,3,Not Graduate,Yes,6000000,16000000,12,606,2600000,11600000,19300000,7800000,1
84,5,Graduate,No,8800000,18800000,14,836,17300000,10100000,32700000,5400000,1
85,4,Not Graduate,No,2200000,7000000,20,756,3600000,3900000,5700000,1200000,1
86,5,Graduate,No,6100000,20700000,20,482,9400000,2000000,16900000,5900000,0
87,2,Not Graduate,Yes,1300000,2700000,8,627,100000,300000,2600000,1300000,1
88,5,Not Graduate,Yes,4500000,12700000,8,307,11000000,3800000,12600000,2700000,0
89,3,Not Graduate,No,3200000,11500000,16,492,4800000,2300000,10400000,3200000,0
90,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0
91,2,Graduate,Yes,1100000,3400000,10,426,300000,800000,3900000,1400000,0
92,4,Graduate,No,3400000,12700000,2,741,3300000,6100000,7700000,3700000,1
93,5,Graduate,Yes,7000000,26200000,12,896,13100000,6600000,23600000,5700000,1
94,0,Graduate,No,4900000,16300000,14,479,1600000,6400000,18600000,2700000,0
95,3,Graduate,Yes,5200000,15200000,16,650,1300000,5700000,13500000,4100000,1
96,2,Not Graduate,No,6300000,24500000,18,848,10200000,3500000,18200000,8200000,1
97,4,Graduate,Yes,7200000,26000000,6,571,4700000,0,22600000,4200000,1
98,4,Graduate,No,4800000,12000000,6,441,8400000,1300000,18200000,3200000,0
99,2,Not Graduate,No,8400000,23200000,16,476,15200000,5400000,18700000,8600000,0
100,1,Not Graduate,Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000,1
101,3,Graduate,Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,1
102,0,Graduate,Yes,200000,300000,18,520,100000,300000,600000,100000,0
103,3,Graduate,Yes,7800000,27200000,16,560,3600000,8100000,21800000,8600000,1
104,2,Graduate,Yes,1200000,4600000,20,605,3600000,1500000,4600000,600000,1
105,3,Graduate,No,1400000,3200000,8,753,2200000,2000000,3600000,2000000,1
106,0,Graduate,No,1500000,3600000,14,747,200000,1400000,3000000,1200000,1
107,2,Graduate,No,2700000,9300000,16,656,7700000,2500000,6400000,3600000,1
108,0,Not Graduate,Yes,4500000,16900000,8,773,6300000,6800000,14000000,6000000,1
109,1,Not Graduate,Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000,0
110,2,Not Graduate,Yes,2900000,10200000,10,315,8100000,400000,6500000,1600000,0
111,0,Not Graduate,No,6300000,13300000,2,666,8800000,4000000,14200000,4900000,1
112,3,Graduate,No,5000000,12700000,14,865,4700000,8100000,19500000,6300000,1
113,5,Not Graduate,No,8500000,23400000,16,604,25100000,16500000,24500000,4800000,1
114,1,Graduate,Yes,4400000,12300000,6,583,2400000,7900000,17200000,6600000,1
115,2,Graduate,Yes,5400000,14300000,14,477,10200000,700000,11100000,5500000,0
116,2,Graduate,No,4600000,13500000,16,587,7700000,5900000,10600000,5000000,1
117,4,Not Graduate,No,5000000,11400000,6,336,1600000,4000000,15500000,2500000,0
118,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1
119,4,Not Graduate,No,7400000,15400000,6,677,22000000,13500000,28900000,7400000,1
120,5,Not Graduate,No,9200000,18900000,10,521,8300000,14500000,23400000,6900000,0
121,5,Graduate,No,5700000,12900000,18,807,4100000,900000,18600000,5500000,1
122,3,Not Graduate,Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000,0
123,1,Not Graduate,No,1400000,4400000,14,787,1600000,1200000,4200000,800000,1
124,0,Graduate,Yes,8600000,29400000,16,643,1000000,14100000,33000000,12300000,1
125,0,Not Graduate,Yes,700000,2000000,18,650,400000,1300000,2800000,500000,1
126,5,Not Graduate,Yes,9400000,23200000,14,885,16900000,1200000,34900000,4700000,1
127,5,Not Graduate,No,3900000,14000000,4,708,700000,1800000,15600000,5200000,1
128,3,Graduate,No,5100000,13300000,4,589,11200000,2700000,20200000,6100000,1
129,2,Graduate,Yes,2800000,8400000,10,534,8300000,4800000,10600000,1500000,0
130,2,Not Graduate,No,4900000,16800000,10,480,2200000,8900000,12600000,2700000,0
131,3,Graduate,No,4600000,17800000,20,716,12600000,2600000,10800000,4500000,1
132,0,Not Graduate,Yes,5800000,12600000,2,859,13500000,4700000,21200000,4500000,1
133,3,Not Graduate,No,5500000,12400000,8,580,800000,900000,19300000,7300000,1
134,4,Not Graduate,Yes,3500000,11300000,16,874,1400000,3800000,10100000,3700000,1
135,4,Not Graduate,Yes,7100000,27900000,10,328,9000000,13400000,26500000,7700000,0
136,1,Not Graduate,No,400000,1400000,4,302,200000,100000,1500000,500000,1
137,2,Graduate,Yes,3800000,9100000,14,849,6300000,2400000,9500000,2500000,1
138,0,Not Graduate,Yes,4500000,12400000,18,719,10300000,200000,9200000,3100000,1
139,0,Not Graduate,Yes,800000,3200000,8,467,900000,400000,3100000,800000,0
140,3,Graduate,Yes,7400000,15200000,10,548,16700000,12800000,19300000,4800000,0
141,5,Graduate,Yes,7200000,21300000,2,801,9900000,1700000,20400000,7200000,1
142,5,Not Graduate,No,600000,2400000,18,631,600000,300000,2100000,900000,1
143,1,Graduate,No,900000,2600000,4,346,400000,700000,2900000,900000,0
144,2,Not Graduate,Yes,9600000,29800000,16,499,28500000,6300000,31800000,7400000,0
145,2,Graduate,Yes,8100000,25700000,8,455,22300000,11500000,19800000,9500000,0
146,4,Not Graduate,No,5100000,19400000,8,755,2200000,300000,14900000,5300000,1
147,3,Graduate,Yes,1400000,2700000,14,694,3800000,200000,3600000,1700000,1
148,2,Graduate,Yes,4300000,15200000,12,552,3400000,2100000,12700000,4800000,1
149,4,Graduate,No,6700000,16000000,4,791,0,13000000,20700000,5200000,1
150,2,Not Graduate,Yes,6100000,19400000,8,379,5300000,10800000,14300000,4100000,0
151,3,Graduate,Yes,4000000,8300000,8,531,3700000,7400000,15200000,5900000,0
152,4,Not Graduate,No,8600000,17400000,2,787,11700000,10600000,18400000,10600000,1
153,4,Not Graduate,Yes,6400000,18400000,16,320,17700000,3600000,13900000,8300000,0
154,3,Not Graduate,No,9100000,19300000,12,696,26200000,7700000,30100000,13300000,1
155,0,Not Graduate,No,2100000,8200000,4,554,3900000,3800000,5900000,1700000,1
156,4,Not Graduate,Yes,6400000,23500000,2,485,7300000,2700000,23600000,3900000,1
157,4,Graduate,No,9900000,30000000,18,496,10400000,8000000,29300000,13800000,0
158,4,Graduate,No,9300000,26100000,16,623,11700000,10500000,21100000,10700000,1
159,4,Not Graduate,No,500000,1300000,6,809,200000,300000,900000,500000,1
160,3,Graduate,Yes,1400000,2700000,14,819,1200000,1500000,4000000,1300000,1
161,3,Not Graduate,No,5500000,17600000,8,882,5800000,7800000,20300000,3100000,1
162,0,Graduate,Yes,3700000,11600000,10,747,0,4500000,9000000,3500000,1
163,3,Not Graduate,Yes,8300000,25900000,8,696,14400000,12200000,23500000,7100000,1
164,4,Not Graduate,No,4300000,16500000,4,539,10600000,6100000,9300000,2100000,1
165,4,Not Graduate,Yes,7800000,26800000,2,474,8900000,11200000,18400000,5600000,1
166,3,Not Graduate,No,1400000,4100000,8,455,3000000,1400000,2900000,2100000,0
167,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,0
168,4,Graduate,Yes,8700000,23400000,16,372,10600000,11700000,20000000,8000000,0
169,4,Graduate,Yes,300000,1100000,4,457,700000,100000,1100000,400000,1
170,1,Not Graduate,No,6200000,23100000,16,838,9100000,1400000,23500000,7000000,1
171,3,Graduate,Yes,5100000,20400000,6,754,1700000,2600000,11800000,7600000,1
172,1,Not Graduate,No,500000,1700000,2,680,700000,800000,1400000,700000,1
173,0,Graduate,Yes,8200000,29700000,6,405,3900000,800000,23900000,5700000,0
174,3,Not Graduate,Yes,6400000,23500000,12,684,17200000,10300000,25300000,7400000,1
175,0,Graduate,Yes,400000,900000,2,855,-100000,500000,1300000,400000,1
176,5,Not Graduate,Yes,600000,1200000,8,343,100000,700000,1600000,600000,0
177,1,Graduate,No,7500000,28300000,16,707,9700000,1100000,16300000,6700000,1
178,4,Graduate,Yes,1800000,5800000,14,305,600000,3300000,3600000,2000000,0
179,5,Graduate,Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000,0
180,5,Graduate,No,2300000,4900000,4,529,6200000,3900000,9200000,2000000,0
181,3,Graduate,Yes,4800000,11500000,12,535,3600000,8000000,15600000,5400000,0
182,0,Not Graduate,No,7300000,28200000,16,486,15300000,8800000,16400000,7700000,0
183,2,Not Graduate,No,8900000,23100000,4,519,22800000,500000,25200000,4700000,0
184,3,Not Graduate,Yes,7300000,20000000,18,720,15500000,9900000,23000000,9800000,1
185,4,Graduate,Yes,3500000,10700000,8,883,200000,2300000,8400000,2000000,1
186,5,Not Graduate,Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000,1
187,5,Graduate,Yes,2100000,7100000,10,517,1200000,2900000,5400000,1400000,0
188,3,Graduate,Yes,1900000,7100000,6,583,400000,2800000,6500000,2000000,1
189,2,Graduate,Yes,3300000,11100000,20,823,4600000,1500000,11700000,2900000,1
190,4,Graduate,No,7900000,29900000,8,314,22000000,4600000,26000000,8100000,0
191,0,Not Graduate,No,9700000,37300000,20,701,12100000,16200000,24100000,10500000,1
192,0,Graduate,Yes,4300000,12800000,20,572,8600000,2200000,11000000,6100000,1
193,5,Not Graduate,Yes,5100000,13700000,14,527,12100000,8900000,19400000,4700000,0
194,2,Not Graduate,No,8100000,17500000,4,674,10800000,12700000,23200000,9300000,1
195,0,Not Graduate,Yes,800000,2400000,16,825,700000,0,3100000,1100000,1
196,5,Not Graduate,No,5400000,21100000,12,661,15800000,10400000,20100000,5400000,1
197,3,Not Graduate,Yes,7600000,26400000,14,867,9200000,700000,27900000,7400000,1
198,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1
199,2,Graduate,Yes,3600000,11500000,8,590,1600000,5200000,10900000,3000000,1
200,5,Graduate,No,6300000,18100000,4,590,5400000,10900000,22400000,8600000,1
201,5,Not Graduate,No,6500000,23300000,12,790,600000,9700000,15500000,9500000,1
202,4,Graduate,No,9700000,26900000,10,460,11400000,3900000,31400000,9300000,0
203,3,Not Graduate,Yes,7000000,26100000,18,689,17200000,5700000,20500000,5900000,1
204,5,Graduate,No,9000000,32800000,4,773,10600000,4100000,18900000,11500000,1
205,2,Graduate,Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0
206,3,Graduate,No,7800000,15900000,2,665,14400000,900000,27200000,5400000,1
207,5,Not Graduate,Yes,6400000,20300000,16,348,10000000,10900000,20400000,6900000,0
208,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0
209,3,Graduate,No,500000,1700000,10,509,400000,300000,1400000,300000,0
210,4,Graduate,No,4700000,15700000,4,868,3300000,2500000,13800000,4800000,1
211,1,Not Graduate,Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000,0
212,5,Graduate,No,4100000,11000000,14,379,6200000,1700000,8500000,5400000,0
213,1,Graduate,Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000,1
214,1,Graduate,No,2900000,11100000,20,478,4200000,2900000,8500000,3000000,0
215,3,Graduate,No,9700000,37800000,12,700,13400000,6100000,25800000,11900000,1
216,1,Graduate,No,9100000,30100000,14,890,17800000,12400000,32500000,7500000,1
217,5,Not Graduate,Yes,6000000,14700000,18,462,15400000,9700000,13800000,3500000,0
218,1,Not Graduate,No,1400000,4100000,20,530,1200000,1100000,3000000,1900000,0
219,1,Not Graduate,Yes,1700000,5600000,2,882,3100000,2600000,6700000,1600000,1
220,4,Not Graduate,Yes,4400000,16600000,14,889,800000,1400000,14900000,5900000,1
221,5,Not Graduate,Yes,6500000,23900000,2,507,500000,10200000,15900000,8000000,1
222,1,Not Graduate,Yes,3000000,6800000,10,541,5800000,5700000,10700000,2900000,0
223,3,Not Graduate,Yes,8500000,26100000,2,683,6600000,10400000,24100000,5700000,1
224,2,Not Graduate,No,1900000,4600000,12,587,3000000,1300000,4800000,1100000,1
225,2,Graduate,Yes,2300000,5400000,8,364,4500000,500000,7000000,2000000,0
226,0,Not Graduate,No,4500000,17500000,10,495,10300000,3500000,9700000,6200000,0
227,2,Not Graduate,Yes,6000000,19900000,8,486,12100000,8100000,20100000,6600000,0
228,3,Graduate,Yes,3100000,11200000,14,772,3400000,5800000,8300000,2100000,1
229,3,Graduate,No,5600000,20300000,4,330,16100000,5100000,15300000,4200000,1
230,3,Graduate,Yes,1500000,5800000,18,420,800000,1900000,4100000,1400000,0
231,2,Graduate,No,5100000,19100000,8,457,13200000,5100000,16400000,7600000,0
232,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,0
233,1,Graduate,Yes,7600000,23900000,12,692,500000,12200000,27000000,5000000,1
234,3,Graduate,Yes,4100000,12700000,10,465,6400000,1900000,14100000,3200000,0
235,4,Not Graduate,No,3600000,12400000,14,427,10400000,2400000,9100000,2600000,0
236,5,Not Graduate,No,1400000,3000000,6,754,3500000,2700000,5300000,1400000,1
237,2,Graduate,No,5400000,17400000,10,335,5900000,1400000,18100000,4300000,0
238,2,Not Graduate,No,1200000,4100000,8,497,2700000,700000,3700000,1300000,0
239,0,Graduate,No,500000,1200000,14,556,900000,0,1800000,500000,1
240,3,Graduate,Yes,300000,1000000,8,641,700000,200000,1100000,200000,1
241,0,Graduate,No,9200000,30700000,10,455,24900000,2000000,32900000,5200000,0
242,5,Graduate,Yes,6500000,24100000,6,441,14100000,9600000,15300000,5200000,0
243,2,Graduate,No,5300000,19300000,16,368,14700000,400000,11600000,3700000,0
244,4,Not Graduate,No,8100000,19300000,14,821,16500000,8500000,25800000,8300000,1
245,0,Not Graduate,Yes,3200000,7400000,18,780,4200000,2600000,9000000,2800000,1
246,5,Not Graduate,No,9600000,27100000,8,594,25500000,4600000,26800000,13300000,1
247,3,Not Graduate,Yes,4400000,16300000,20,561,5500000,8000000,12000000,4000000,1
248,0,Graduate,No,1800000,5400000,16,555,3900000,2900000,5100000,1700000,1
249,0,Graduate,Yes,7600000,17900000,16,788,1700000,7800000,27100000,5900000,1
250,4,Not Graduate,No,7900000,25700000,18,589,4300000,300000,25300000,9800000,1
251,5,Not Graduate,No,5600000,17600000,14,448,6700000,3500000,18900000,6800000,0
252,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0
253,3,Graduate,Yes,6500000,22400000,6,488,16800000,11700000,21700000,6800000,0
254,3,Graduate,No,600000,2100000,16,892,700000,400000,2400000,500000,1
255,1,Not Graduate,Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,0
256,4,Not Graduate,Yes,6000000,13200000,6,455,7300000,5900000,16500000,7100000,0
257,3,Graduate,No,5600000,13400000,6,865,14900000,9700000,12300000,6000000,1
258,5,Graduate,No,9200000,29200000,16,383,17700000,13300000,30400000,5700000,0
259,3,Graduate,Yes,3000000,8300000,4,685,2900000,5400000,11300000,3800000,1
260,1,Graduate,No,1600000,5400000,4,319,4200000,2200000,4200000,1600000,1
261,0,Not Graduate,No,2700000,8400000,14,610,900000,1900000,6100000,2800000,1
262,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,1
263,4,Not Graduate,Yes,4200000,9600000,20,863,7400000,900000,9100000,3400000,1
264,1,Not Graduate,No,4300000,16400000,20,397,6700000,6200000,10200000,5700000,0
265,0,Graduate,No,5000000,14400000,2,761,-100000,7300000,12600000,4500000,1
266,4,Not Graduate,Yes,400000,900000,20,771,1000000,500000,1600000,500000,1
267,5,Not Graduate,No,8400000,19500000,6,815,5300000,2500000,24000000,7200000,1
268,3,Graduate,Yes,4900000,13100000,18,401,5700000,4100000,16400000,3600000,0
269,3,Graduate,Yes,9000000,33100000,16,456,23800000,7000000,26000000,7100000,0
270,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,1
271,1,Graduate,No,8300000,28900000,12,529,18300000,3900000,32500000,5800000,0
272,4,Graduate,No,7900000,30600000,2,569,7600000,3400000,20100000,7400000,1
273,0,Not Graduate,Yes,7100000,18600000,20,770,19200000,13100000,23100000,5100000,1
274,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1
275,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1
276,0,Not Graduate,No,2900000,6900000,10,320,5100000,500000,7700000,1500000,0
277,2,Not Graduate,No,8600000,33300000,16,375,19600000,11200000,25500000,11200000,0
278,1,Not Graduate,No,6200000,21100000,10,467,15600000,10500000,23500000,5300000,0
279,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,0
280,5,Not Graduate,Yes,4200000,11200000,2,758,5300000,6500000,9600000,3800000,1
281,0,Graduate,No,3100000,8100000,18,768,400000,1600000,11600000,2400000,1
282,2,Graduate,Yes,9900000,37300000,8,385,600000,900000,27400000,14200000,0
283,2,Graduate,Yes,4000000,8600000,4,847,10200000,2700000,14300000,2400000,1
284,2,Not Graduate,No,5000000,12400000,8,709,11300000,6800000,13300000,4200000,1
285,4,Graduate,Yes,3800000,14300000,4,645,1300000,1100000,10900000,4600000,1
286,0,Not Graduate,Yes,7500000,25800000,18,844,9100000,600000,18600000,6500000,1
287,2,Graduate,No,3400000,12900000,14,857,3400000,2500000,8700000,1900000,1
288,4,Graduate,Yes,5900000,17300000,20,657,1500000,5600000,13000000,4100000,1
289,4,Graduate,Yes,1500000,3300000,16,382,200000,2400000,3200000,1100000,0
290,2,Not Graduate,Yes,3800000,14500000,16,567,2400000,2600000,10500000,3000000,1
291,3,Not Graduate,No,2200000,6400000,20,667,6300000,3900000,8300000,2900000,1
292,5,Graduate,No,6500000,16000000,14,444,1100000,7900000,23100000,7900000,0
293,0,Graduate,Yes,3500000,13900000,16,301,10300000,100000,8700000,2700000,0
294,2,Graduate,Yes,200000,800000,12,483,100000,200000,600000,300000,0
295,5,Graduate,Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000,1
296,3,Graduate,No,9400000,20300000,10,649,19600000,6700000,36100000,10000000,1
297,3,Not Graduate,Yes,1500000,5100000,14,837,4100000,1000000,3300000,1400000,1
298,0,Graduate,Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,1
299,5,Not Graduate,No,7600000,17500000,6,510,9100000,3500000,15700000,9800000,0
300,3,Not Graduate,Yes,6000000,18700000,18,783,2800000,8500000,20300000,8800000,1
301,3,Not Graduate,Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,1
302,2,Graduate,No,1800000,5700000,14,502,1400000,1100000,4400000,1300000,0
303,0,Not Graduate,Yes,4200000,8900000,14,796,3000000,1600000,13300000,4800000,1
304,4,Not Graduate,Yes,800000,2400000,2,461,1300000,1300000,2300000,300000,1
305,5,Graduate,Yes,6700000,20200000,8,406,6900000,4900000,15300000,7100000,0
306,5,Not Graduate,No,5700000,18400000,4,579,12800000,4000000,17200000,4900000,1
307,0,Graduate,No,600000,1600000,10,588,1600000,100000,1100000,300000,1
308,0,Graduate,Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000,0
309,2,Graduate,No,9000000,35700000,12,339,15200000,8400000,19500000,9000000,0
310,3,Not Graduate,No,2000000,5800000,8,799,3000000,3100000,5500000,1000000,1
311,3,Not Graduate,Yes,9500000,20100000,2,506,16800000,800000,32700000,11000000,0
312,3,Not Graduate,No,4100000,15900000,12,538,3900000,800000,8800000,5700000,0
313,3,Graduate,No,500000,1500000,6,392,1400000,200000,1800000,600000,0
314,2,Not Graduate,No,2100000,5100000,12,674,2200000,3200000,6400000,2400000,1
315,1,Graduate,Yes,7500000,19900000,10,669,1800000,8800000,18100000,7300000,1
316,0,Not Graduate,Yes,8300000,17500000,20,643,24800000,8900000,18800000,5100000,1
317,0,Graduate,Yes,8200000,20800000,14,372,3800000,100000,26100000,5200000,0
318,1,Graduate,Yes,8700000,31700000,12,525,7800000,10200000,30300000,6100000,0
319,2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,0
320,4,Graduate,No,1100000,3600000,8,693,2400000,1300000,3800000,1500000,1
321,5,Not Graduate,No,6200000,16400000,6,360,900000,7200000,22400000,6300000,0
322,2,Not Graduate,No,4800000,15800000,20,860,1700000,3300000,13400000,5100000,1
323,1,Not Graduate,No,3100000,6600000,20,837,4000000,4200000,12300000,4300000,1
324,3,Graduate,No,3500000,10300000,16,324,2400000,900000,12600000,2400000,0
325,4,Not Graduate,No,7900000,31500000,20,386,14300000,3800000,23800000,7500000,0
326,3,Not Graduate,No,8700000,24800000,20,360,25300000,8700000,31100000,4300000,0
